Dydige Digte,Frank Jæger, fra 1965 på forlaget Gyldendal ,,33250.jpg,15,5,"Hft. 64 sider, 89 gram", Skønlitteratur, Digte,,,,,,,,,
Krigerhyrderne - Et stolt og krigerisk stammefolk i Uganda,Elizabeth Marshall Thomas, fra 1968 på forlaget Fremad,,33651.jpg,25,4,"Hos Dodotherne i Uganda, om stammekultur i gårsdagens og nutidens Afrika. Hft. 196 sider, illustreret med fotos. 329gram.", Samfund & historie, Etnografi og Antropologi, Dokumentar,,,,,,,,
Ekskonernes Klub,Olivia Goldsmith,1. udgave fra 1993 på forlaget Bogsamleren,ISBN: 87-7531-375-8,33930.jpg,25,5,"Kvinderne tager så grueligt hævn over deres eksmænd, som har udskiftet dem med yngre og tyndere modeller. En rigtig morsom bog, som vil få enhver ekskone til at fryde sig. Bygget på virkelige hændelser. Og senere filmatiseret. Indb. 319sider. 400gram.", Skønlitteratur, Romaner,,,,,,,,,
Sandalmagernes gade 1+2,Nis Petersen, fra 1964 på forlaget Gyldendal,,33145.jpg,25,4,"Indb. 195+298 sider, 544g.", Skønlitteratur,,,,,,,,,,
Verdens Litteraturhistorie - Bind 3 - Renæssancen 1500 tallet,"Redaktion: F. J. Billeakov Jansen, Hakon Stangerup og P. H. Traustedt", fra 1971 på forlaget Politiken,ISBN: 87-567-1357-6,33619.jpg,25,5,"Indb. 599 sider, illustreret. Udg.biblioteksbog i fin stand. 795gram.", Litteraturhistorie,,,,,,,,,,
"Egnen omkring Vojens - en Sønderjysk kommunes historie, tiden indtil 1864",H. V. Gregersen," fra 1977 på forlaget Indb. 20x24cm. 199sider, illustreret. Fin stand",ISBN: 87-980560-1-8,33513.jpg,75,5,, Lokalhistorie,,,,,,,,,,
London explorer,Gad Guide, fra 1996 på Gads forlag,ISBN: 87-12-02622-0,33392.jpg,30,4,Hft. 288sider. I fin stand. 564gram., Rejsebøger/guides,,,,,,,,,,
En kinesisk landsby 20 år efter,Jan Myrdal, fra 1983 på forlaget Mellemfolkeligt Samvirke,ISBN: 87-7028-386-9,33339.jpg,25,5,"Hft. bog med billeder i s/h. 144 s. Skrevet af en forfatter, der første gang besøgte den kinesiske by Liu Lin for 20 år siden. I denne bog sammenfatter han udviklingen. Bogen er i rigtig pæn stand. 198 g.", Studiebøger, Samfund & historie, Erindringer,,,,,,,,
Morfars by,Albert Dam, fra 1979 på forlaget Gyldendlas Paperbacks,ISBN: 87-01-91701-3,33335.jpg,20,4,"I bogen skildrer Albert Dam sin fødeegn Fruering sogn og dets folk for hundrede år siden. Paperback, 229sider. 262gram.", Samfund & historie, Erindringer,,,,,,,,,
20 år efter. Bind 1-2,Alexandre Dumas, på Martins forlag,ISBN: 87-566-0591-9,33692.jpg,25,5,Indb. bind 1 & 2 med smudsomslag. 315+284sider. Fin stand. 940gram., Ungdom, Skønlitteratur,,,,,,,,,
Mere om Emil fra Lønneberg,Astrid Lindgren, fra 1994 på forlaget Gyldendal,ISBN: 87-00-15592-6,33356.jpg,30,5,"Indb.152sider, illustreret med tegninger af Björn Berg. Fin stand. 368gram.", Skønlitteratur, Børnebøger,,,,,,,,,
Thorshammer-Kristkors,Carl Olsen, fra 1977 på forlaget Bogan,ISBN: 87-87533-68-5,33650.jpg,30,4,"I vikingetiden, hvor asatroen og kristendommen stredes om overtaget. Skuepladsen er bondesamfundene fra Isefjord til Stevns og om togt til England og Norge. Beretningen er bygget på historisk litteratur og arkæologiske fund. Hft. 192Sider. 309gram.", Skønlitteratur, Romaner,,,,,,,,,
Fra Korea til Bali,Aage Krarup Nielsen, fra 1951 på forlaget Gyldendal,,33924.jpg,30,5,"Indb. med læderryg. 147sider, illustreret med fotos.  783gram.", Studiebøger, Samfund & historie, Etnografi og Antropologi, Opdagelsesrejser - ekspeditioner,,,,,,,
Kimono og Khaki,Aage Krarup Nielsen, fra 1949 på forlaget Nordisk,,33357.jpg,30,5,"Indb. med læderryg. 156sider, illustreret. Pæn stand, 866gram.", Historie:Kultur, Opdagelsesrejser - ekspeditioner,,,,,,,,,
Aloha - en sydhavnsfærd,Aage Krarup Nielsen, fra 1947 på forlaget Nordisk ,,33791.jpg,30,6,Indb. Med læderryg. 200sider illustreret med billeder. Fin stand. 764gram., Studiebøger, Opdagelsesrejser - ekspeditioner,,,,,,,,,
Den irske præst,Knud T. Thomsen,3. udgave fra 1987 på forlaget Gyldendals,ISBN: 87-00-60924-2,33977.jpg,20,4,"En løssluppen, stundom sørgmunter beretning fra den Irske frihedskamp 1919-1921. Paperback, 219 sider, 167 gram", Skønlitteratur, Romaner,,,,,,,,,
Tak for turen,Klaus Rifbjerg, fra 1977 på forlaget Gyldendals Bogklub,ISBN: 87-01-01981-3,34013.jpg,20,5,"Den muntre beretning om en flok drenge i 15-års alderen, der drager på skiferie i Lapland. Året er 1947, krigen er slut og portene til den store verden er atter lukket op. 
Indb. 183 sider, 310gram.", Skønlitteratur, Romaner,,,,,,,,,
Fredløs Færd - Alv Udda,Frithjof E. Bye, fra 1946 på forlaget Jespersen og Pios,,33564.jpg,25,4,Indb. 245sider. 614gram., Skønlitteratur,,,,,,,,,,
Rebekkas roser,Martha Christensen, fra 1988 på forlaget Gyldendal,ISBN: 87-00-17592-7,33520.jpg,25,5,Indb. 179sider. 324gram., Skønlitteratur, Romaner,,,,,,,,,
Angreb på Pearl Harbor,Shelley Tanaka,"1. udgave fra 2001 på forlaget P. Haase&S;øn, indb, 27x27cm, 64 sider, som ny",ISBN: 8755911595,33877.jpg,50,6,, Studiebøger, Anden verdenskrig, Amerika/USA,,,,,,,,
Mordet i Sønder økse,Mogens Jerver, fra 1980 på forlaget Borgen,ISBN: 87-418-2762-7,33204.jpg,20,4,"Den virkelige historie om en mordsag, der begyndte i Sønder Økse 1821, fortælling og veldokumenteret historieskrivning.
Indb. 91sider. Udg.biblioteksbog i fin stand. 248gram.", Historie:Danmark, Dokumentar,,,,,,,,,
Ugler i familien,Farley Mowat, fra 1980 på forlaget Wangel,ISBN: 87-7499-389-5,33923.jpg,20,6,"Fortællingerne om Uglerne Gugles og Klynkes mange morsomme og rørende oplevelser. 
Indb. 134 sider, illustreret af Robert Frankenberg. 288gram.", Skønlitteratur, Ungdom, Børnebøger,,,,,,,,
Englands rejsen,Edith Unnerstad, fra 1962 på forlaget Gyldendal,,33825.jpg,15,4,"Om to børn der rejser i deres forsvundne mors spor i sidste halvdel af 1800-tallet. 
Indb. 143sider, 284gram", Ungdom, Skønlitteratur,,,,,,,,,
Skyggespil,Hans Kirk, fra 1974 på forlaget Gyldendal,ISBN: 87-00-28312-6,33529.jpg,15,6,"Paperback, 166sider, som ny. 123g.", Skønlitteratur,,,,,,,,,,
Forfatter håndbogen - faglitteratur,Finn Dreibek, fra 1987 på forlaget Lademann,ISBN: 87-15-08516-3,33277.jpg,30,5,"Indb. 117sider, brugt biblioteksbog i fin stand, 292gram.", Studiebøger, Litteraturvidenskab, Faglitteratur,,,,,,,,
JULEN som den var,Hjalmar Havelund, fra 1933 på forlaget Stig Vendelkær,ISBN: 87-416-1300-7,33871.jpg,30,4,"JULEN, som den var i 12 kendte danskeres barndomshjem. Indb. 128sider. Udg.biblioteksbog i fin stand. 310gram.", Fortællinger, Historie:Kultur,,,,,,,,,
Hund og hund imellem - en munter beretning om 101 Dalmantiner hunde,Dodie Smith, fra 1959 på forlaget Hernovs,,33427.jpg,10,3,"Indb. 220 sider, illustreret med tegninger af Janet og Anne Grahame-Johnstone. Hyggelige hunde-historier. Brugt biblioteksbog, slidt. 398g.", Hobby, Husdyr,,,,,,,,,
Mykologisk Ekskursionsflora - vejledning til bestemmelse af danske storsvampe,C. Ferdinandsen og Ø. Winge,3. udgave fra 1978 på forlaget Foreningen til svampekundskabens fremme,,34003.jpg,45,6,"Indb. 434 sider, illustreret med 664 originale figurer. Med synonymliste ved N. Fabritius Buchwald. Bogen er helt som ny. 448g.", Svampe,,,,,,,,,,
Festen for Cæcilie - den hemmelige beretning om et kongemord,Ebbe Kløvedal Reich, fra 1979 på forlaget Gyldendal,ISBN: 87-01-82721-9,33560.jpg,25,4,"Mordet på Kong Erik Klipping 1286 er Danmarks historiens mærkeligste kriminalgåde. Med denne udgivelse hævder forfatteren at løse den og afsløre morderen. Samtidig viser det sig at datiden ligner os og vores verden mere end vi tror. Hft. 462sider, 792g.", Studiebøger, Krimi/spænding, Historie:Danmark,,,,,,,,
Shosha - Om Jøders tilværelse i Polen før 2.verdenskrig.,Isaac Bashevis Singer, fra 1979 på forlaget Chr. Erichsen,ISBN: 87-555-0611-9,33430.jpg,20,4,Indb. 294 sider. Udg.biblioteksbog i pæn stand. 489gram., Erindringer, Dokumentar,,,,,,,,,
Maria Stuart - dronning uden krone,Richard Herrmann, fra 1989 på forlaget Politiken,ISBN: 87-567-4574-5,33736.jpg,20,4,"Hft. 232 sider, illustreret. 402gram", Historie:Europa, Dokumentar,,,,,,,,,
Grøn var min barndoms dal,Richard Llewellyn, fra 1976 på forlaget Lademann,,33180.jpg,30,5,"Indb. 352 sider, illustreret med tegninger af Svend Otto S. 686gram.", Skønlitteratur, Biografier, Romaner,,,,,,,,
Stærkere end Skæbnen,Bryce Courtenay, fra 1990 på forlaget Wangels,ISBN: 87-7443-756-9,33288.jpg,25,5,"handlingen foregår i Sydafrika. 566 sider, 916gram.", Skønlitteratur, Romaner,,,,,,,,,
"Den sjette sans - Sprog, skrift og liv gennem tre årtusinder",Ivar Gjørup, fra 2000 på forlaget Spektrum,ISBN: 87-7763-089-0,33448.jpg,40,6,"18 essays om sprogsansen, skrift og tale gennem tre tusind år.  Hft. 301sider. 453 gram.", Studiebøger, Kommunikation, Sprog, Samfund & historie,,,,,,,
Gunløg Ormstunge - en Islandsk saga,Gunnar Jakobsen (red),2. udgave fra 1981 på forlaget Munksgaard,ISBN: 87-16-02308-0,33513.jpg,20,5,"En spændende fortælling om kamp og kærlighed, ungdom og modning. Oversættelsen er tro mod den originale saga både i ord og stemning. De mange træsnit gør den mere end 600-årige tekst levende. Indb. 73 sider. Brugt biblioteksbog i fin stand. 220gram.", Skønlitteratur, Fortællinger,,,,,,,,,
Tørrede blomster - blomsterkranse og buketter,Ruth Helsing, fra 1981 på forlaget Høst og Søn,ISBN: 87-14-28105-8,33491.jpg,20,4,Indb. 88 sider. Udg.biblioteksbog i god stand. 306gram., Faglitteratur, Hobby, Botanik,,,,,,,,
Fattigdommens hverdage - om levevilkår i dagens moderne samfund,Ann Gamst/ Birthe Gamst,1. udgave fra 1986 på forlaget Gyldendal,ISBN: 87-01-42684-2,33915.jpg,20,4,"Interviews med fattige og med de sociale hjælpere om hvordan de konkrete hverdage ser ud for de underste i samfundet. Hft 107 sider, brugt biblioteksbog i pæn stand 163gram.", Studiebøger, Samfund & historie, Dokumentar,,,,,,,,
Slaveskibet,Paula Fox, fra 1976 på forlaget Gyldendal,ISBN: 87-01-21741-0,33781.jpg,20,4,"Den trettenårige Jessie kidnappes i året 1840 på gaden i New Orleans og føres til et skib, der skal transportere slaver fra Afrika til Cuba. 
Skibet forliste i den Mexikanske Golf 3.juni 1840.
Indb. 136sider. Udg.biblioteksbog i god stand. 279gram.", Ungdom, Skønlitteratur,,,,,,,,,
Vinter-drøm - digte i udvalg 1920-30,William Heinesen, fra 1930 på forlaget Brøndum,,33580.jpg,20,4,"Indb. 108 sider, brugt biblioteksbog i pæn stand. 265g.", Digte,,,,,,,,,,
Gråspurven,Lars-Henrik Olsen, fra 1983 på forlaget mallings,ISBN: 87-7333-204-6,33659.jpg,15,4,"Indb. 127 sider, illustreret med tegninger af Erik Strøm. Brugt biblioteksbog i pæn stand. 314gram.", Ungdom, Skønlitteratur,,,,,,,,,
Kongesønnerne,Peter Grove, fra 1974 på forlaget Branner og Korch,ISBN: 87-411-1287-3,33729.jpg,15,4,Historisk roman. Indb. 130 sider. Udg.biblioteksbog i pæn stand. 304gram., Ungdom, Skønlitteratur,,,,,,,,,
Arvingen fra Pompeji,Robert Fisker, fra 1976 på forlaget Forum,ISBN: 87-553-0472-9,34003.jpg,20,4,Indb. 133sider. Udg.biblioteksbog. 282gram., Ungdom, Skønlitteratur,,,,,,,,,
På livet løs - En samtale mellem Lise Nørgaard og Birthe Rønn Hornbech,Kirsten Jacobsen, fra 2004 på forlaget Gyldendal - indb. 235sider. Som ny. ,ISBN: 87-02-03118-3,33891.jpg,50,6,"To kloge kvinder øser af erfaringerne fra deres eget liv, privat og professionelt, mens de diskuterer nogle af livets vigtigste temaer: kærlighed, opvækst, identitet, ligeberettigelse, velfærd, ansvarsfølelse, frihed, moral, sorg og savn.", Samfundsvidenskab, Erindringer,,,,,,,,,
"Narrekongen, hertugen af Windsor",John Parker, fra 1988 på forlaget Artia,ISBN: 87-89294-04-1,34039.jpg,20,4,Hft. 356sider med nogle billeder i s/h. Bogen har alm brugsspor på omslag. 439g., Historie:Europa, Biografier,,,,,,,,,
"Kærligheden, kildevandet... og det blå ocean",Troels Kløvedal, fra 1980 på forlaget Gyldendals bogklub,ISBN: 87-01-06171-2,33226.jpg,25,4,"Oplevelser med ""Nordkaperen"" Indb. 208sider med billeder i s/h. God stand, uden smudsomslag. Alm. brugsspor. 417g.", Opdagelsesrejser - ekspeditioner,,,,,,,,,,
Forargelsens hus,Gabriel Chevallier, på forlaget Lademann,ISBN: 87-15-00853-3,33451.jpg,25,6,"I serien ""Humor fra hele verden"". Indb. m. guldsnit og illustreret af Audun Hetland med tegninger. 309sider, som ny. 590g.", Skønlitteratur, Humor,,,,,,,,,
Jomilla - en kvinde fra Bangladesh,Grethe Lauritsen, fra 1983 på forlaget Mellemfolkeligt Samvirke,ISBN: 87-7028-3672,33578.jpg,25,5,Bogen er et resultat af fire års arbejde blandt udstødte kvinder i Bangladesh. Hft. 207sider. 283g., Etnografi og Antropologi, Dokumentar,,,,,,,,,
Skibet og døden,Herman Melville,ISBN: 87-15-00784-7,,34089.jpg,25,6,"Indb. m. guldsnit, 181sider, illustreret af Garrick Palmer. 438g.
.", Skønlitteratur, Krimi/spænding,,,,,,,,,
Piratens muntre historier - Humor fra hele verden,Fritiof Nilsson Piraten, fra 1979 på forlaget Lademann,ISBN: 87-15-00835-5,33273.jpg,25,6,"Indb. m. guldsnit, 229 sider, illustreret af Edward Lindahl med tegninger, fra serien ""Humor fra hele verden"". 476g.", Skønlitteratur, Humor,,,,,,,,,
"I Asiens farvande (ombord i en fransk orlogsmand ved Middelhavets, Indiens, Bagindiens, Kinas, Japans og Koreas kyster)",Henri Konow, fra 1893 på P. G. Philipsens forlag,,33463.jpg,40,4,"Om oplevelser i fjerne lande for over 100 år siden. Indb. 409sider, illustreret. Antikvarisk bog med alm.skrift, i pæn stand. 716g.", Søfart, Opdagelsesrejser - ekspeditioner,,,,,,,,,
"Jeg er samler, håndbog i gamle ting",P. H. Traustedt (red), fra 1975 på forlaget Politkens,ISBN: 87-567-2305-9,33265.jpg,30,5,"Indb. 390sider, illustreret. Fin stand. 386g.", Faglitteratur, Hobby, Antikviteter,,,,,,,,
Aztekerriget og den spanske erobring - Mesoamerikas indianere i 1500-tallet,Finn Madsen, fra 1987 på Forlaget Lee,ISBN: 87-89149-00-9,33707.jpg,25,4,"Hft. 21x30cm. 79sider, illustreret. Udg.biblioteksbog. 337g.", Studiebøger, Samfund & historie, Etnografi og Antropologi,,,,,,,,
Tekstiler - Jorden rundt,Meryl Doney, fra 1996 på forlaget Klematis ,ISBN: 87-7721-745-4,33641.jpg,30,5,"Indb. 32 s. m. billeder i farver. Jorden rundt går på opdagelse i alverdens lande og ser på, hvordan mennesker udtrykker sig gennem små ting i hverdag og fest. 
I pæn stand, 313 g.", Faglitteratur, Håndarbejde/hobby/håndværk, Hobby,,,,,,,,
Djævleeliksiren - Gys fra hele verden.,E. T. A. Hoffmann, på forlaget Lademann ,,33388.jpg,25,6,"Indb. m. guldsnit,  294 sider, illustreret af Vibe Vestergaard med tegninger. Som ny.
531g.", Krimi/spænding, Skønlitteratur,,,,,,,,,
fransk kogekunst opskrifter,Conrad Bjerre-Christensen, fra 1970 på forlaget Lademann,,33808.jpg,15,5,"Indb. 112sider, illustreret. 313gram", Mad & gastronomi, Faglitteratur, Kogebøger,,,,,,,,
iliaden,"Homer, Prosaoversættelse: Otto Gelsted", på Thanning & Appels forlag,ISBN: 87-413-7708-7,33393.jpg,20,4,"Hft. 267sider, illustreret af Axel Salto. 170gram.", Mytologi, Grækenland, Antikken,,,,,,,,
Du store kineser - Humor fra hele verden,G. K. Chesterton, på forlaget Lademann,ISBN: 87-15-00831-2,33578.jpg,25,6,"Indb. m. guldsnit, 214 sider, illustreret af Poul Holck med tegninger. Som ny.  454g.", Humor, Skønlitteratur,,,,,,,,,
Tidslerne på Baragan,Panaït Istrati, på forlaget Lademann,,33384.jpg,25,6,"Om massakre i Rumænien. Indb. m. guldtryk, 191sider, illustreret med tegninger af Svend Otto S.  Som ny. 456g.", Skønlitteratur, Fortællinger,,,,,,,,,
Boghandleren der holdt op med at bade,"Fritiof Nilsson, Piraten", på forlaget Lademann,ISBN: 87-15-00722-7,34111.jpg,25,6,"Indb. m. guldtryk, 299 sider, illustreret af Kirsten Hoffmann med tegninger. Som ny. 604g.", Humor, Fortællinger, Skønlitteratur,,,,,,,,
Smukke ven,Guy de Maupassant, fra 1975 på forlaget Lademann,,33146.jpg,25,6,"Indb. m. guldsnit,  300 sider, illustreret med tegninger af Hans Bendix, som ny. 595g.", Skønlitteratur,,,,,,,,,,
Kong Arthur og hans ædle riddere,John Steinbeck, fra 1979 på forlaget Lademann,ISBN: 87-15-00951-3,33293.jpg,25,6,"Indb. m. guldsnit, 301 sider, illustreret af Aubrey Beardsley, som ny. 601g.", Skønlitteratur, Fortællinger,,,,,,,,,
Sylvestre Bonnards forbrydelse,Anatole France, på forlaget Lademann,,33189.jpg,25,6,"Indb. m. guldsnit, 232 sider, illustreret af Des Asmussen, som ny. 473g.", Fortællinger, Skønlitteratur,,,,,,,,,
Børnevennen 1906,Danske forfattere, fra 1906 på H. Hagerups forlag,,33323.jpg,50,3,"Indb. 192 s. med billeder i s/h. Alderen kan ses på bogen, men det giver den blot charme. Alle sider er intakte, ingen manglende, løse eller ødelagte. Fortællinger, eventyr, digte og skildringer af danske forfattere med talrige illustrationer. Red. af Niels K. Kristensen 446 g.", Børnebøger,,,,,,,,,,
Slægten,Gustav Wied, fra 1979 på forlaget Lademann,ISBN: 87-15-00840-1,34019.jpg,25,6,"Indb. m. guldsnit, 256 sider, illustreret med tegninger af Arne Ungermann, som ny. 510g.", Skønlitteratur,,,,,,,,,,
Præsten i Wakefield,Oliver Goldsmith, fra 1969 på forlaget Gyldendal,,34114.jpg,15,5,"Indb. 186 sider, 191 gr., brugt biblioteksbog i pæn stand.", Skønlitteratur,,,,,,,,,,
Gør din pligt - kræv din ret,Robert Pedersen, fra 1994 på forlaget Holkenfeldt,ISBN: 87-89906-35-7,33220.jpg,25,4,"Indb. 283 sider, brugt biblioteksbog i pæn stand. 405g.", Studiebøger, Samfundsvidenskab,,,,,,,,,
Digtere fortæller om deres barndom 3 - Da verden var ny,Jørgen Andersen (red), fra 1963 på forlaget Gyldendal,,33150.jpg,20,4,"23 fortællinger af 12 digtere: 
Georg Brandes. Sophus Clausen. Jeppe Aakjær. Agnes Henningsen. Richardt Gandrup. Johannes Weltzer. Kjeld Abell. Johannes Wulff. Henrik V. Ringsted. Knud Sønderby. Finn Gerdes. Sven Holm. Indb. 181 sider, Udg.biblioteksbog. 278gram.", Studiebøger, Erindringer,,,,,,,,,
Tilbagerejsen,Poul Ørum, fra 1973 på forlaget Fremad,ISBN: 87-557-0439-5,33757.jpg,20,3,Indb. 146 sider. Udg.biblioteksbog i god stand. 293gram., Erindringer, Biografier,,,,,,,,,
Den dag Magdas far blev lille,Ole Rasmussen, fra 1983 på forlaget Friskov,ISBN: 87-88081-09-5,33298.jpg,10,3,"Indb. ca 46 sider u. sidetal, illustreret med mange sjove tegninger, brugt biblioteksbog med alm. brugsspor. 211g.", Skønlitteratur, Børnebøger,,,,,,,,,
Jul i tyverne - julehistorier og erindringer fra Danmark i 1920'rne,Redigeret af Hjalmar Havelund, fra 1982 på forlaget Borgen,,34103.jpg,20,4,"Indb. 96 sider, illustreret. brugt biblioteksbog i fin stand. 232g.", Samfund & historie, Historie:Kultur, Erindringer,,,,,,,,
Jul omkring 1. Verdenskrig,Redigeret af Hjalmar Havelund, fra 1981 på forlaget Berlingske,ISBN: 87-19-10185-5,33206.jpg,25,4,7 historier og tidsbilleder fra forskellige områder i Danmark. Indb. 84sider. Udg.biblioteksbog i god stand. 240gram., Historie:Kultur, Erindringer,,,,,,,,,
Bjergprædikenen - Fortolkning - Undervisning,Liselotte Corbach, fra 1970 på forlaget Rasmus Fischers,ISBN: 87-86034-07-3,33337.jpg,20,4,"Indb. 208 sider,  brugt biblioteksbog i pæn stand. 428gram.", Studiebøger, Undervisning, Teologi, Religion,,,,,,,
Vinterhavn,Thorkild Hansen, fra 1972 på forlaget Gyldendal,ISBN: 87-00-59912-3,34008.jpg,25,4,"Oplevelser i Canada under ekspedition med det formål at finde den vinterhavn hvor Jens Munk i 1620 måtte forlade fregatten ""Enhiørningen"" efter at 61 af hans søfolk var omkommet af skørbug. Indb. 198sider. Udg.biblioteksbog. 416gram.", Erindringer,,,,,,,,,,
Danmarks Byremser - Danmarks Folkeminder nr 67,August F. Schmidt, fra 1957 på Einar Munksgaards forlag,,34066.jpg,25,4,Indb. 232 sider. Udg.biblioteksbog i fin stand. 485gram., Studiebøger, Lokalhistorie, Historie:Kultur,,,,,,,,
Jakob Scavenius - en moderne politiker i det gamle Højre,Sigurd Rambusch, fra 1988 på Universitetsforlaget Aarhus ,ISBN: 87-504-054-46,33863.jpg,25,4,"Hardback 297sider, illustreret. Udg.biblioteksbog. God stand. 641g.", Samfund & historie, Biografier, Politik,,,,,,,,
Muldvarpen og hans venner del 1+2,Kenneth Grahame, fra 1972 på forlaget P. Haase & Søns,ISBN: 87-559-0083-6,33496.jpg,25,4,"1) Venner på vandring. 2) Den tåbelige tudse. 
Indb. 263sider, illustreret med farvelagte tegninger af Ernest H. Shepard. Udg.biblioteksbog i fin stand. 678gram", Skønlitteratur, Børnebøger,,,,,,,,,
Gamle tegn og symboler,Rudolf Koch, fra 1972 på forlaget Notabene,ISBN: 87-7490-042-0,33281.jpg,35,4,"Hft. 104sider, illustreret. 222g.", Studiebøger, Kunst & kultur, Grafik, Faglitteratur,,,,,,,
SLANK på den fede måde,Lone Kjær,"2. udgave fra 2004 på forlaget Politiken, Hft. 23x23cm. 190sider. Udv.brugsspor",ISBN: 8756772092,34031.jpg,30,3,, Faglitteratur, Sundhed, Mad & gastronomi,,,,,,,,
"Secrets of Palmistry - Learn the art of reading the lines, mounts, and shape of the hands to reveal our destiny",Peter West, fra 2001 på forlaget Dorling Kindersley,ISBN: 0751312029,33549.jpg,30,6,"Hft. 11x14cm. 224sider, illustreret. 228gram.", Psykologi, Krop & sind,,,,,,,,,
Bjovulf - et angelsaksisk heltedigt - frit gengivet for børn,Thora Constantin-Hansen, fra 1951 på forlaget Rosenkilde og Bagger,,33582.jpg,15,3,"Indb. 68 sider, illustreret med Niels Skovgaards tegninger. Udg.biblioteksbog med brugsspor. 325g.", Skønlitteratur, Ungdom, Fortællinger,,,,,,,,
Litteraturhåndbogen,Ib Fischer Hansen mfl (red),4. udgave fra 1990 på forlaget Gyldendal,ISBN: 87-00-82356-6,33913.jpg,30,3,"Indb. 18,5x25,5cm. 589 sider, brugt biblioteksbog med udv. Brugsspor. 1647g.", Litteraturvidenskab,,,,,,,,,,
Balladen om Marie - en biografi om Marie Krøyer,Tonni Arnold,1. udgave fra 1999 på forlaget Lindhardt & Ringhof,ISBN: 87-595-1149-4,33633.jpg,25,3,"Indb. 16x24cm.  421 sider, illustreret. Udg.biblioteksbog. Brugsspor. 885gram.", Studiebøger, Kunst & kultur, Biografier,,,,,,,,
De styrede landet - politiske portrætter,Poul Møller, fra 1988 på Stig Vendekærs Forlag,ISBN: 87-416-1332-5,33272.jpg,20,5,"Fhv finansminister Poul Møller kender som få det politiske liv, og han forstår at fortælle derom med autoritet der bygger på mere end 30 år. Medrivende og ærlig skildring. Hft. 170sider. 243gram.", Studiebøger, Samfund & historie, Politik,,,,,,,,
Holberg på natbordet - de Holbergske replikker,Jørgen Stegelmann, fra 1991 på forlaget Fiskers ,ISBN: 87-89077-73-3,34022.jpg,25,4,Indb. 93 sider. brugt biblioteksbog i pæn stand. 291gram., Skønlitteratur, Skuespil, Antologier,,,,,,,,
Marianne flytter,Eleanor Estes, fra 1958 på forlaget Det danske ,,33927.jpg,15,5,"Indb. 92 sider, 225 g.", Ungdom, Skønlitteratur,,,,,,,,,
Prins Sing,Erik Juel, fra 1942 på forlaget Chr. Erichsen,,33390.jpg,25,4,"Indb. 127 sider, fin stand. 184gram.", Skønlitteratur, Ungdom, Børnebøger,,,,,,,,
Davy Crockett og Creek-krigen,Tom Hill, på forlaget Martins,,33718.jpg,15,4,"Hardback, 102 sider, 162g.", Skønlitteratur, Ungdom,,,,,,,,,
"Tykke-Niels, igen - skolehistorier",Niels K. Kristensen, fra 1961 på forlaget Frederik E.Pedersens,,34070.jpg,15,4,"Indb. 94 sider, 200g.", Skønlitteratur, Ungdom,,,,,,,,,
Porsernes strid,Morten Korch, fra 1954 på forlaget Branner og Korch,,33608.jpg,15,4,"Indb. 94 sider, 235 gram.", Skønlitteratur, Fortællinger,,,,,,,,,
Henrik Triges Løfte,Morten Korch, fra 1954 på forlaget Branner og Korch,,33396.jpg,20,4,"Indb. 109 sider, 255 gr.", Skønlitteratur, Fortællinger,,,,,,,,,
Den lakrøde port,Lin Yutang, fra 1954 på forlaget Hirschsprung,,33624.jpg,25,4,"Historisk roman om den muhamedanske opstand i Kina i 1933 - en fortælling om de faktiske forhold, traditioner, og vilkår for befolkningen. Hft. 452 sider, 538 gr.", Skønlitteratur, Romaner,,,,,,,,,
Turen går til London,Gunhild Riske,17. udgave fra 1998 på forlaget Politiken,ISBN: 87-567-5761-1,34053.jpg,20,5,Hft. 139 sider. God stand uden notater.  210g., Rejsebøger/guides,,,,,,,,,,
Tors rejse til Udgård,Robert Fisker, fra 1979 på forlaget Sesam,ISBN: 87-7324-498-8,34007.jpg,10,4,"Paperback, 90sider, illustreret med tegninger af Palle Bregnhøi. 150g.", Skønlitteratur, Fortællinger, Mytologi,,,,,,,,
Historien om Amled,Robert Fisker, fra 1980 på forlaget Sesam,ISBN: 87-7324-523-2,33578.jpg,10,4,"Paperback, 84sider, illustreret med tegninger af Peter Jensen. 132g.", Fortællinger, Mytologi,,,,,,,,,
Kærlighedsdigte,Tove Ditlevsen, fra 1950 på forlaget Hasselbalch,,33562.jpg,20,5,"Et udvalg af forfatterindens samlede produktion. Indb. 13x17,5cm. 59sider, 140g.", Skønlitteratur, Digte,,,,,,,,,
Dødskammeret,John Grisham, fra 2006 på forlaget Aschehoug,ISBN: 87-11-29918-5,33820.jpg,20,6,"Indb. 477sider, 600 gram", Skønlitteratur, Krimi/spænding,,,,,,,,,
Stjernehimlens Billedgalleri,C Luplau Janssen, fra 1946 på forlaget Foreningen Fremtiden,,33994.jpg,30,4,"Udgivet i 400-Aaret for Tycho Brahes Fødsel. Hft. 73sider, illustreret med tegninger og forklarende tekst af Hjalte Skovgaard. 179g.", Astrologi/Astronomi,,,,,,,,,,
Træ og Fest,Povl Abrahamsen (red), fra 1979 på forlaget Træbranchens oplysningsråd,,33400.jpg,15,5,"Om historisk udvikling indenfor byggebranchen og træindustri. Indb. 21x15cm. 49 sider, illustreret. brugt biblioteksbog i pæn stand. 202g.", Kunst & kultur, Arkitektur,,,,,,,,,
